========================================================================================================================
                          MONSRISE 阵型胜率与优化次数汇总报告 (Cycle 0 正统系统训练同步版)                  
========================================================================================================================
阵型名称 (Formation ID)                        | R0 根谱系       | 层级 (Tier)  | L3 胜率      | L2 胜率      | L1 实测胜率        | 优化次数
cand:all2prayer:spatial_local:0            | all2prayer   | T3         |    87.5%   |        -   |          -   |        4
cand:suqing:spatial_local:0                | suqing       | T3         |   100.0%   |        -   |          -   |        4
cand:spade_multi:formation_transform:0     | spade_multi  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_savior:spatial_local:0           | gift_savior  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_jungle:spatial_local:0           | gift_jungle  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_jungle:formation_transform:0     | gift_jungle  | T3         |    87.5%   |        -   |          -   |        4
cand:nutsavior:formation_transform:c0_flip | nutsavior    | T3         |    87.5%   |        -   |          -   |        4
cand:all2rush:strategy_schedule_branch:... | all2rush     | T3         |    50.0%   |        -   |          -   |        1
cand:all2rush:multi_monster_exploration... | all2rush     | T3         |    37.5%   |        -   |          -   |        1
cand:classicsavior:spatial_local:c0_108    | classicsavior | T3         |    87.5%   |        -   |          -   |        1
cand:classicsavior:formation_transform:... | classicsavior | T3         |    87.5%   |        -   |          -   |        4
cand:classicsavior:strategy_schedule_br... | classicsavior | T3         |    75.0%   |        -   |          -   |        1
cand:all2prayer:spatial_local:c0_110       | all2prayer   | T3         |    75.0%   |        -   |          -   |        1
cand:all2prayer:formation_transform:c0_... | all2prayer   | T3         |    87.5%   |        -   |          -   |        4
cand:all2prayer:strategy_schedule_branc... | all2prayer   | T3         |    75.0%   |        -   |          -   |        1
cand:suqing:strategy_schedule_branch:c0... | suqing       | T3         |    87.5%   |        -   |          -   |        4
cand:laddersel:spatial_local:c0_110        | laddersel    | T3         |    87.5%   |        -   |          -   |        1
cand:laddersel:formation_transform:c0_flip | laddersel    | T3         |    87.5%   |        -   |          -   |        4
cand:laddersel:strategy_schedule_branch... | laddersel    | T3         |    87.5%   |        -   |          -   |        4
cand:spade_multi:formation_transform:c0... | spade_multi  | T3         |    87.5%   |        -   |          -   |        4
cand:spade_multi:strategy_schedule_bran... | spade_multi  | T3         |    75.0%   |        -   |          -   |        1
cand:golden_boom:formation_transform:c0... | golden_boom  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_jungle:strategy_schedule_bran... | gift_jungle  | T3         |    87.5%   |        -   |          -   |        4
cand:nutsavior:spatial_local:c1_105        | nutsavior    | T3         |    87.5%   |        -   |          -   |        4
cand:nutsavior:formation_transform:c1_flip | nutsavior    | T3         |    87.5%   |        -   |          -   |        4
cand:all2rush:spatial_local:c1_117         | all2rush     | T3         |    37.5%   |        -   |          -   |        1
cand:all2rush:formation_transform:c1_flip  | all2rush     | T3         |    62.5%   |        -   |          -   |        1
cand:all2rush:strategy_schedule_branch:... | all2rush     | T3         |    50.0%   |        -   |          -   |        1
cand:all2rush:multi_monster_exploration... | all2rush     | T3         |    37.5%   |        -   |          -   |        1
cand:classicsavior:spatial_local:c1_117    | classicsavior | T3         |   100.0%   |        -   |          -   |        4
cand:classicsavior:formation_transform:... | classicsavior | T3         |    87.5%   |        -   |          -   |        4
cand:classicsavior:strategy_schedule_br... | classicsavior | T3         |    75.0%   |        -   |          -   |        1
cand:all2prayer:spatial_local:c1_116       | all2prayer   | T3         |    62.5%   |        -   |          -   |        1
cand:all2prayer:formation_transform:c1_... | all2prayer   | T3         |    87.5%   |        -   |          -   |        4
cand:all2prayer:strategy_schedule_branc... | all2prayer   | T3         |    75.0%   |        -   |          -   |        1
cand:suqing:strategy_schedule_branch:c1... | suqing       | T3         |    87.5%   |        -   |          -   |        4
cand:laddersel:spatial_local:c1_116        | laddersel    | T3         |    87.5%   |        -   |          -   |        4
cand:laddersel:formation_transform:c1_flip | laddersel    | T3         |    87.5%   |        -   |          -   |        4
cand:laddersel:strategy_schedule_branch... | laddersel    | T3         |    87.5%   |        -   |          -   |        4
cand:spade_multi:formation_transform:c1... | spade_multi  | T3         |    87.5%   |        -   |          -   |        4
cand:spade_multi:strategy_schedule_bran... | spade_multi  | T3         |    75.0%   |        -   |          -   |        1
cand:golden_boom:formation_transform:c1... | golden_boom  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_jungle:strategy_schedule_bran... | gift_jungle  | T3         |    87.5%   |        -   |          -   |        4
cand:springsword:spatial_local:c0_110      | springsword  | T3         |    87.5%   |        -   |          -   |        4
cand:gift_savior:spatial_local:c0_110      | gift_savior  | T3         |    87.5%   |        -   |          -   |        4
cand:golden_boom:spatial_local:c0_110      | golden_boom  | T3         |   100.0%   |        -   |          -   |        4
cand:gift_jungle:spatial_local:c0_110      | gift_jungle  | T3         |   100.0%   |        -   |          -   |        4
cand:springsword:spatial_local:c1_105      | springsword  | T3         |    87.5%   |        -   |          -   |        4
cand:golden_boom:spatial_local:c1_105      | golden_boom  | T3         |    87.5%   |        -   |          -   |        1
cand:springsword:multi_monster_explorat... | springsword  | T3         |    18.8%   |        -   |          -   |        4
cand:nutsavior:multi_monster_exploratio... | nutsavior    | T3         |    37.5%   |        -   |          -   |        4
cand:laddersel:multi_monster_exploratio... | laddersel    | T3         |    56.3%   |        -   |          -   |        4
cand:gift_savior:multi_monster_explorat... | gift_savior  | T3         |    53.1%   |        -   |          -   |        4
cand:all2rush:strategy_schedule_branch:... | all2rush     | T3         |    75.0%   |        -   |          -   |        4
cand:all2prayer:spatial_local:c2_103       | all2prayer   | T3         |    65.0%   |        -   |          -   |        4
cand:all2prayer:strategy_schedule_branc... | all2prayer   | T3         |    75.6%   |        -   |          -   |        4
cand:spade_multi:spatial_local:c2_101      | spade_multi  | T3         |    77.5%   |        -   |          -   |        4
cand:spade_multi:strategy_schedule_bran... | spade_multi  | T3         |    73.1%   |        -   |          -   |        4
cand:gift_savior:spatial_local:c2_108      | gift_savior  | T3         |    75.0%   |        -   |          -   |        4
========================================================================================================================
统计总数: 活跃阵型共 118 套 (T0: 11, T1: 13, T2: 25, T3: 69) [T4 淘汰归档池: 0 套，不计入活跃总数]
规则与演化说明:
  - 当前阶段: Cycle 0 优化与实测自动出分完成
  - 评价内核: 权威对称 EvalEngine (保证镜像对战互斥 WA=LB, LA=WB, DA=DB，绝无双向虚假加分) 与对称 AI 策略
  - 优化即出分: 每次优化变异直接产出真实胜率，全自动更新梯队与审计总账，绝无断层
  - 优化次数: 严格累加 (每次针对性对战与优化尝试 +1)
  - 容量门禁: 活跃阵型数量 >= 100 时自动停产新初始阵型，100% 专攻存量微调优化
  - T4 淘汰铁律: 凡优化次数 >= 20 且仍处于 T3 (< 45.0%) 的阵型，强制移入 T4 淘汰池且不计入活跃总数
========================================================================================================================
